TimeStamp,LT-V-DVR est active,LT-V<2 est active,LT-AO1 est active,LT-AO2 est active,LT-Ads est active,LT-Acq est active,LT-CF est active,LT-CF2 est active,LT-IH-UFR est active,LT-IF est active,LT-W est active,LT-OC est active,Fin de course porte verrouillé activé,Fin de course porte fermé activé,Fin de course 1 de condamnation porte activé,Fin de course 2 de condamnation porte activé,Fin de course CLA complétement fermé activé,Fin de course CLA fermé activé,Fin de course CLA isolé activé,Fin de course CLA 1 de condamnation activé,Fin de course CLA 2 de condamnation activé,BP d'ouverture int activé,BP d'ouverture ext activé,BP de dev d'urgence porte activé,Carré de forçage en ouverture du CLA activé,Carré de forçage en fermeture du CLA activé,Poigné de dev d'urgence porte activé,Carré de dev d'urgence porte int activé,Carré de dev d'urgence porte ext activé,Voyant porte non ouvrable int:Activ en continue,Voyant porte non ouvrable ext:Activ en continue,Voyant BP d'ouverture int : Activé en continue,Voyant BP d'ouverture ext : Activé en continue,Voyant BP de dev d'urgence:Activé en continue,Voyant porte non ouvrable int : Clignotant,Voyant porte non ouvrable ext : Clignotant,Voyant UFR int : Clignotant,Voyant UFR ext : Clignotant,Voyant de fermeture : Clignotant,Voyant BP d'ouverture int : Clignotant,Voyant BP d'ouverture ext : Clignotant,Voyant BP de dev d'urgence : Clignotant,Présence d'un défaut,Code du défaut présent- Cf.Tableau des defauts,Courant moteur de la porte,Tension moteur de la porte,Position moteur de la porte,Courant moteur de la marche mobile,Tension moteur de la marche mobile,Position moteur de la marche mobile
00:06:04,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,428,5509,671,0,0,0
00:06:04,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,316,5406,691,0,0,0
00:06:04,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,160,5250,711,0,0,0
00:06:04,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,8,5366,730,0,0,0
00:06:04,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,239,4696,749,0,0,0
00:06:04,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2566,3511,765,0,0,0
00:06:04,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1430,2634,777,0,0,0
00:06:05,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1867,2165,787,0,0,0
00:06:05,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,511,1782,795,0,0,0
00:06:05,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,122,1610,801,0,0,0
